step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
67,31547,67,0.04362110917215431,0.0,0.9803439803439803,,,
68,31980,68,0.07339225556868222,0.0,0.9691358024691358,,,
69,32237,69,0.06503913044018347,0.0,0.9586206896551724,,,
70,32614,70,0.05837782214387472,0.0,0.9714285714285714,,,
71,32983,71,0.06122993507890049,0.0,0.96875,,,
72,33336,72,0.10174629758427582,0.0,0.9586776859504132,,,
73,33721,73,0.04483079340396754,0.0,0.9801587301587301,0.052289954048629336,0.0,0.9659090909090909
74,34090,74,0.04486112390935119,0.0,0.9809160305343512,,,
75,34851,75,0.11024478640292869,0.0,0.9537750385208013,,,
76,35220,76,0.03702336211935116,0.0,0.9846743295019157,,,
77,35741,77,0.07873664167080996,0.0,0.9617346938775511,,,
78,36222,78,0.05825735085835763,0.0,0.9684813753581661,,,
79,36711,79,0.04825630694030472,0.0,0.9745762711864406,,,
80,37128,80,0.05452800578015995,0.0,0.975177304964539,,,
81,37561,81,0.06758440178574951,0.0,0.9721362229102167,0.05405361231486114,0.0,0.9674267100977199
82,37842,82,0.11394564857225202,0.0,0.9476744186046512,,,
83,38395,83,0.061574916972040004,0.0,0.9715639810426541,,,
84,38780,84,0.0666212006349236,0.0,0.9682539682539683,,,
85,39165,85,0.0998437741575634,0.0,0.9377289377289377,,,
86,39446,86,0.052022868060106864,0.0,0.9771428571428571,,,
87,39735,87,0.09566639627234962,0.0,0.9505494505494505,,,
88,40024,88,0.05692702376704879,0.0,0.9602272727272727,,,
89,40393,89,0.0516392419086005,0.0,0.9692307692307692,0.1095095361773489,0.0,0.9488117001828154
90,40722,90,0.035485129593923144,0.0,0.9796954314720813,,,
91,41379,91,0.12762999791142712,0.0,0.9395085066162571,,,
